sku,mfgn,qty,qtynj,qtyfl,price,map,mrp
70792,RF613S,8,4,4,4.78,,
70794,010-12776-00,0,0,0,198.74,,
70795,010-12776-10,0,0,0,629.98,,
70796,010-12776-11,1,0,1,974.99,,
70801,010-02055-00,0,0,0,472.49,,
70803,112000,0,0,0,28.27,,
70804,H2183-10,0,0,0,574.86,,
70806,010-12721-00,6,3,3,18.74,,
70808,115503,0,0,0,31.81,,
70809,WS-C10,0,0,0,103.69,,
70810,WS2-C06,1,1,0,73.07,,
70816,TPA3012,8,4,4,141.78,,
70832,134900,0,0,0,31.81,,
70833,135010,1,1,0,38.89,,
70835,RF572,0,0,0,12.48,19.09,
70837,RF2332,0,0,0,16.90,25.86,
70839,395010,7,6,1,20.62,,
70841,395210,2,2,0,35.34,,
70842,791502,1,1,0,80.43,,
70843,723300,0,0,0,55.68,,
70844,723700,0,0,0,61.86,,
70846,135402,0,0,0,28.27,,
70847,737002,0,0,0,61.86,,
70848,758005,0,0,0,63.63,,
70852,B765C-LH-MM,0,0,0,874.43,,
70853,147000,4,4,0,38.89,,
70854,144402,2,2,0,42.41,,
70855,613403,0,0,0,38.06,,
70856,759201,0,0,0,80.43,,
70857,797010,0,0,0,93.16,,
70871,105000,0,0,0,5.92,,
70872,106100,0,0,0,9.88,,
70873,107000,0,0,0,9.88,,
70874,171301,0,0,0,7.20,,
70875,171502,4,4,0,9.64,,
70876,321309,4,4,0,8.10,,
70877,321508,0,0,0,16.07,,
70878,321407,0,0,0,7.20,,
70879,341406,7,2,5,7.20,,
70880,350304,0,0,0,9.00,,
70881,350500,0,0,0,9.64,,
70882,350400,0,0,0,9.00,,
70883,344922,10,10,0,7.20,,
70884,345023,0,0,0,9.00,,
70885,350022,11,5,6,7.50,,
70886,351001,0,0,0,6.92,,
70888,358200,1,1,0,12.00,,
70889,358300,1,1,0,15.00,,
70890,358400,6,6,0,21.00,,
70891,2373121,8,8,0,12.86,,
70892,2373130,0,0,0,12.86,,
70893,2361000,1,0,1,7.20,,
70894,708020,11,11,0,28.93,,
70897,361610,6,6,0,7.07,,
70898,371610,4,4,0,9.64,,
70899,344840,2,2,0,3.75,,
70900,344860,0,0,0,4.50,,
70901,344985,4,4,0,4.50,,
70902,345046,0,0,0,5.25,,
70904,345028,4,4,0,6.30,,
70905,2360600,0,0,0,5.54,,
70912,2371304,0,0,0,7.71,,
70913,2360100,18,18,0,5.14,,
70914,2363001,0,0,0,6.43,,
70916,2370100,66,66,0,8.36,,
70917,2370500,11,11,0,5.14,,
70918,2371500,0,0,0,5.14,,
70920,436200,0,0,0,8.36,,
70921,437000,0,0,0,9.64,,
70922,437300,3,3,0,11.57,,
70931,360704,5,0,5,12.46,,
70934,370704,2,2,0,12.86,,
70935,370705,1,1,0,12.86,,
70936,370707,0,0,0,12.86,,
70938,370708,5,5,0,12.86,,
70941,010-12753-00,4,0,4,17.39,,
70944,M051A-SS,12,5,7,15.98,,
70956,010-01428-23,30,0,30,171.93,,
70962,7012CAWBX,207,75,132,172.58,,
70963,7012CABBX,179,57,122,172.58,,
70967,011204WW,0,0,0,270.00,,
70968,011203W,0,0,0,270.00,,
