ItemNumber,ImageLink
"0101190",https://shop2.gzanders.com/media/catalog/product/0/1/0101190_RETICLE.jpg
"0101220",https://shop2.gzanders.com/media/catalog/product/0/1/0101220_1.jpg
"0101220",https://shop2.gzanders.com/media/catalog/product/0/1/0101220_RETICLE.jpg
"0101240",https://shop2.gzanders.com/media/catalog/product/0/1/0101240_1.jpg
"0101240",https://shop2.gzanders.com/media/catalog/product/0/1/0101240_RETICLE.jpg
"0101400",https://shop2.gzanders.com/media/catalog/product/0/1/0101400_1.jpg
"0101400",https://shop2.gzanders.com/media/catalog/product/0/1/0101400_RETICLE.jpg
"0101420",https://shop2.gzanders.com/media/catalog/product/0/1/0101420_1.jpg
"0101420",https://shop2.gzanders.com/media/catalog/product/0/1/0101420_RETICLE.jpg
"0101430",https://shop2.gzanders.com/media/catalog/product/0/1/0101430_1.jpg
"0101430",https://shop2.gzanders.com/media/catalog/product/0/1/0101430_RETICLE.jpg
"0101450",https://shop2.gzanders.com/media/catalog/product/0/1/0101450_1.jpg
"0101450",https://shop2.gzanders.com/media/catalog/product/0/1/0101450_RETICLE.jpg
"0101490",https://shop2.gzanders.com/media/catalog/product/0/1/0101490_1.jpg
"0101490",https://shop2.gzanders.com/media/catalog/product/0/1/0101490_RETICLE.jpg
"0101530",https://shop2.gzanders.com/media/catalog/product/0/1/0101530_1.jpg
"0101530",https://shop2.gzanders.com/media/catalog/product/0/1/0101530_RETICLE.jpg
"0101540",https://shop2.gzanders.com/media/catalog/product/0/1/0101540_1.jpg
"0101540",https://shop2.gzanders.com/media/catalog/product/0/1/0101540_RETICLE.jpg
"0101550",https://shop2.gzanders.com/media/catalog/product/0/1/0101550_1.jpg
"0101550",https://shop2.gzanders.com/media/catalog/product/0/1/0101550_RETICLE.jpg
"0101560",https://shop2.gzanders.com/media/catalog/product/0/1/0101560_1.jpg
"0101560",https://shop2.gzanders.com/media/catalog/product/0/1/0101560_RETICLE.jpg
"0101580",https://shop2.gzanders.com/media/catalog/product/0/1/0101580_1.jpg
"0101580",https://shop2.gzanders.com/media/catalog/product/0/1/0101580_RETICLE.jpg
"0101590",https://shop2.gzanders.com/media/catalog/product/0/1/0101590_1.jpg
"0101590",https://shop2.gzanders.com/media/catalog/product/0/1/0101590_RETICLE.jpg
"01015Z",https://shop2.gzanders.com/media/catalog/product/0/1/01015Z.jpg
"0101680",https://shop2.gzanders.com/media/catalog/product/0/1/0101680_1.jpg
"0101680",https://shop2.gzanders.com/media/catalog/product/0/1/0101680_RETICLE.jpg
"0101690",https://shop2.gzanders.com/media/catalog/product/0/1/0101690.jpg
"0101690",https://shop2.gzanders.com/media/catalog/product/0/1/0101690_ON-GUN.jpg
"0101720",https://shop2.gzanders.com/media/catalog/product/0/1/0101720.jpg
"0101720",https://shop2.gzanders.com/media/catalog/product/0/1/0101720_LEFT.jpg
"0101780",https://shop2.gzanders.com/media/catalog/product/0/1/0101780.jpg
"0101800",https://shop2.gzanders.com/media/catalog/product/0/1/0101800.jpg
"0101820",https://shop2.gzanders.com/media/catalog/product/0/1/0101820_GRN-LASER.jpg
"0101820",https://shop2.gzanders.com/media/catalog/product/0/1/0101820.jpg
"0101820",https://shop2.gzanders.com/media/catalog/product/0/1/0101820_ON-GHOSTED-GUN.jpg
"0101830",https://shop2.gzanders.com/media/catalog/product/0/1/0101830.jpg
"0101830",https://shop2.gzanders.com/media/catalog/product/0/1/0101830_ON-GHOSTED-GUN.jpg
"0101890",https://shop2.gzanders.com/media/catalog/product/0/1/0101890.jpg
"0101940",https://shop2.gzanders.com/media/catalog/product/0/1/0101940_1.jpg
"0101970",https://shop2.gzanders.com/media/catalog/product/0/1/0101970.jpg
"0102030",https://shop2.gzanders.com/media/catalog/product/0/1/0102030_1.jpg
"0102030",https://shop2.gzanders.com/media/catalog/product/0/1/0102030_LEFT-ANGLE.jpg
"0102060",https://shop2.gzanders.com/media/catalog/product/0/1/0102060.jpg
"01021",https://shop2.gzanders.com/media/catalog/product/0/1/01021.jpg
"01022",https://shop2.gzanders.com/media/catalog/product/0/1/01022.GIF
"01023",https://shop2.gzanders.com/media/catalog/product/0/1/01023.jpg
"01050100",https://shop2.gzanders.com/media/catalog/product/0/1/01050100.jpg
"01050100",https://shop2.gzanders.com/media/catalog/product/0/1/01050100_POUCH.jpg
"01050200",https://shop2.gzanders.com/media/catalog/product/0/1/01050200_BAG.jpg
"01050200",https://shop2.gzanders.com/media/catalog/product/0/1/01050200.jpg
"01050300",https://shop2.gzanders.com/media/catalog/product/0/1/01050300_BAG.jpg
"01050300",https://shop2.gzanders.com/media/catalog/product/0/1/01050300.jpg
"01050400",https://shop2.gzanders.com/media/catalog/product/0/1/01050400_BAG.jpg
"01050400",https://shop2.gzanders.com/media/catalog/product/0/1/01050400.jpg
"01059Z",https://shop2.gzanders.com/media/catalog/product/0/1/01059Z.jpg
"01071",https://shop2.gzanders.com/media/catalog/product/0/1/01071.jpg
"01072",https://shop2.gzanders.com/media/catalog/product/0/1/01072_1.GIF
"01076",https://shop2.gzanders.com/media/catalog/product/0/1/01076.GIF
"01179",https://shop2.gzanders.com/media/catalog/product/0/1/01179_1.jpg
"01179",https://shop2.gzanders.com/media/catalog/product/0/1/01179_pkging_1.jpg
"01200200",https://shop2.gzanders.com/media/catalog/product/0/1/01200200_1.jpg
"01200215",https://shop2.gzanders.com/media/catalog/product/0/1/01200215_1.jpg
"01200215",https://shop2.gzanders.com/media/catalog/product/0/1/01200215_PKG.jpg
"01232",https://shop2.gzanders.com/media/catalog/product/0/1/01232.jpg
"01235",https://shop2.gzanders.com/media/catalog/product/0/1/01235.jpg
