itemnumber,available,price1,price2,price3,qty1,qty2,qty3
031BA8JZ0,0,"23.24","","","1","",""
031BAB6Z0,0,"23.24","","","1","",""
031BAD9Z0,6,"23.24","","","1","",""
031BAE1Z0,3,"23.24","","","1","",""
031BAR7Z0,0,"23.24","","","1","",""
031BAY1Z0,1,"22.13","","","1","",""
031BB5EZ0,2,"23.24","","","1","",""
031BBD9Z0,3,"23.24","","","1","",""
031BBE1Z0,3,"23.24","","","1","",""
03200,70,"8.32","","","1","",""
03249,6,"28.66","","","1","",""
03250,5,"28.66","","","1","",""
03252,3,"28.66","","","1","",""
03264,0,"28.66","","","1","",""
03265,8,"28.66","","","1","",""
03266,0,"28.66","","","1","",""
03267,5,"28.66","","","1","",""
0327,6,"4.66","","","1","",""
0328,3,"4.66","","","1","",""
03292,5,"28.66","","","1","",""
033BA02Z0,0,"26.56","","","1","",""
033BA80Z0,3,"26.56","","","1","",""
033BA8BZ0,0,"26.56","","","1","",""
033BA8JZ0,4,"26.56","","","1","",""
033BAB6Z0,2,"26.56","","","1","",""
033BAE1Z0,3,"26.56","","","1","",""
033BAM9Z0,2,"26.56","","","1","",""
033BAX7Z0,0,"26.56","","","1","",""
033BAY1Z0,1,"24.35","","","1","",""
035BLK,17,"8.30","","","1","",""
035TAN,15,"8.30","","","1","",""
03601011010,24,"9.85","","","1","",""
03601021011,44,"9.85","","","1","",""
03601031012,24,"9.85","","","1","",""
03601041013,4,"9.85","","","1","",""
03601051014,22,"9.85","","","1","",""
03601061015,7,"9.85","","","1","",""
03601071016,9,"9.85","","","1","",""
03601081017,24,"9.85","","","1","",""
03601091018,35,"9.85","","","1","",""
03601101019,36,"9.85","","","1","",""
03601111226,17,"9.85","","","1","",""
03601121227,15,"9.85","","","1","",""
03601131297,21,"9.85","","","1","",""
03603011061,12,"9.25","","","1","",""
03603021062,3,"9.00","","","1","",""
03603031063,15,"9.25","","","1","",""
03603041064,12,"9.00","","","1","",""
03603051065,3,"9.25","","","1","",""
03603061066,12,"9.00","","","1","",""
03603071067,12,"9.00","","","1","",""
03603081068,30,"9.25","","","1","",""
